Author;Study location;QUADAS;Independent;Sample condition;Sample type;Sample size;Sensitivity (95% CI);Specificity (95% CI)
AAZ, COVID-VIRO®;;;;;;;;
Schwob, J.M., et al.;Switzerland;low concern;yes;fresh;NP;248;96.7% (95% CI 91.8*-99.1*);100% (95% CI 97.1*-100*)
;;;;;;;;
Abbott, BinaxNOW™;;;;;;;;
Pollock, N.R., et al.;USA;low concern;yes;fresh;AN;2308;78.1% (95% CI 77.4-72.2);99.4% (95% CI 99.0-99.7)
Pilarowski, G., et al.;USA;low concern;no;fresh;AN;878;57.7% (95% CI 36.9*-76.7*);100%* (95% CI 99.6*-100*)
James, A. E., et al.;USA;low concern;yes;fresh;AN;2339;56.5% (95% CI 48.7-64.5);99.9% (95% CI 99.7-100)
Okoye, N.C., et al.;USA;intermediate concern;unclear;fresh;MT;2645;53.3% (95% CI 39.1-67.1);100% (95% CI 99.9-100)
;;;;;;;;
Abbott, Panbio™ (NP sampling);;;;;;;;
Domínguez Fernández, M., et al.;Spain;intermediate concern;unclear;fresh;unclear;30;95.0% (not provided);100% (not provided)
Alemany, A., et al.;Spain;intermediate concern;yes;banked;NP;919;93.4% (95% CI 91.5-95.0);100% (95% CI 95.8-100)
FINDdx;Germany;low concern;yes;fresh;NP;281;90.9% (95% CI 78.8-96.4);99.2% (95% CI 97.0-99.8)
Merino-Amador, P., et al.;Spain;low concern;no;fresh;NP;958;90.5% (95% CI 87.5-93.6);98.8% (95% CI 98.0-99.7)
Krüger, L.J., et al.;Germany;low concern;yes;fresh;NP;1034;87.5% (95% CI 79.8-92.5);99.9% (95% CI 99.4-100)
Schwob, J.M., et al.;Switzerland;low concern;yes;fresh;NP;271;86.1% (95% CI 78.6-91.7);100% (95% CI 97.6*-100*)
Stokes, W., et al.;Canada;low concern;yes;fresh;NP;1641;86.1% (95% CI 81.3-90.0);99.9% (95% CI 99.5-100)
Berger, A., et al.;Switzerland;low concern;yes;fresh;NP;535;85.5% (95% CI 78.0-91.2);100% (95% CI 99.1-100)
Faíco-Filho, K.S., et al.;Brazil;low concern;no;fresh;NP;127;84.0% (95% CI 75.0-93.8);98.0% (95% CI 96.0-98.8)
Jääskeläinen, A.E., et al.;Finland;high concern;yes;banked;NP;190;83.0% (95% CI 76.1-88.1);100% (not provided)
Abdulrahman, A., et al.;Bahrain;intermediate concern;yes;fresh;AN;4183;82.1% (95% CI 79.2-84.8);99.1% (95% CI 98.8-99.4)
Gremmels, H., et al.;Netherlands;intermediate concern;yes;fresh;NP;208;81.0% (95% CI 69.0-89.9);100% (95% CI 97.5-100)
Ngo Nsoga, M.T., et al.;Switzerland;intermediate concern;yes;fresh;OP;402;81.0% (95% CI 74.2-86.6);99.1% (95% CI 96.9-99.9)
Albert, E., et al.;Spain;low concern;no;fresh;NP;412;79.6% (95% CI 67.0-88.8);100% (95% CI 98.7-100)
Alemany, A., et al.;Spain;intermediate concern;yes;banked;MT;487;79.5% (95% CI 71.0-86.4);98.7% (95% CI 96.9-99.6)
Fenollar, F., et al.;France;low concern;yes;fresh;NP;341;75.5% (95% CI 69.5-81.5);94.9% (95% CI 91.2-98.6)
Linares, M., et al.;Spain;unclear;yes;fresh;NP;255;73.3% (95% CI 62.2-83.8);100% (95% CI 98.1*-100*)
Gremmels, H., et al.;Netherlands;intermediate concern;yes;fresh;NP;1367;72.6% (95% CI 64.5-79.9);100% (95% CI 99.7-100)
Halfon, P. et al.;France;intermediate concern;yes;unclear;NP;200;72.0% (95% CI 62.0-81.0);99.0% (95% CI 95.0-100)
Bulilete, O., et al.;Spain;low concern;yes;fresh;NP;1362*;71.4% (95% CI 63.2*-78.7);99.8% (95% CI 99.4-99.9)
Akingba, O.L., et al.;Southafrica;unclear;yes;fresh;NP;677;69.2% (95% CI 61.4-75.8);99.0% (95% CI 98.8-99.2)
Del Vecchio, C., et al.;Italy;low concern;yes;fresh;unclear;1441;68.9% (95% CI 55.7-80.1);99.9% (95% CI 99.6-100)
Favresse, J., et al.;Belgium;intermediate concern;yes;fresh;NP;188;67.7% (95% CI 57.4-76.9);100% (95% CI 96.1-100)
Drevinek, P., et al.;Czech Republic;low concern;yes;fresh;NP;591;66.4% (95% CI 59.9-72.2);100% (95% CI 99.0-100)
Pérez-García, F., et al.;Spain;high concern;no;banked;NP;320;60.0% (95% CI 52.2-67.4);100% (95% CI 97.6-100)
Agullo, V., et al.;Spain;low concern;yes;fresh;NP;652*;57.3% (95% CI 48.3-65.8);99.8% (95% CI 98.8-100)
Schildgen, V., et al.;Germany;high concern;yes;unclear;BAL/TW;73;50.0% (95% CI 34.2*-65.8*);77.4% (95% CI 58.9*-90.4*)
Krüger, L.J., et al.;Germany;high concern;yes;fresh;OP;74;50.0% (95% CI 1.3-98.7);100% (95% CI 94.9-100)
Torres, I., et al.;Spain;low concern;no;fresh;NP;634;48.1% (95% CI 37.4-58.9);100% (95% CI 99.3-100)
Villaverde, S., et al.;Spain;intermediate concern;yes;fresh;NP;1620;45.4% (95% CI 34.1-57.2);99.8% (95% CI 99.4-99.9)
Agullo, V., et al.;Spain;intermediate concern;yes;fresh;AN;659;44.7% (95% CI 36.1-53.6);100% (95% CI 99.1-100)
Olearo, F., et al.;Germany;intermediate concern;yes;unclear;OP;184;44.6% (95% CI 34.3-55.3);100% (95% CI 96.3-100)
Caruana, G., et al.;Switzerland;intermediate concern;yes;fresh;NP;532;41.2% (not provided);99.5% (not provided)
Baro, B., et al.;Spain;intermediate concern;yes;banked;NP;286;38.6% (95% CI 29.1-48.8);99.5% (95% CI 97-100)
Agullo, V., et al.;Spain;intermediate concern;yes;fresh;saliva;610;23.1% (95% CI 16.2-31.9);100% (95% CI 99.0-100)
;;;;;;;;
Abbott, Panbio™ (nasal sampling);;;;;;;;
FINDdx;Germany;low concern;yes;fresh;AN/MT;281;86.4% (95% CI 73.3-93.9);99.2% (95% CI 97-99.8)
;;;;;;;;
Access Bio, CareStart™ COVID-19 Antigen Test;;;;;;;;
Pollock, N.R., et al.;USA;low concern;yes;fresh;AN;1498;57.7% (95% CI 51.1-64.1);98.3% (95% CI 97.5-99.0)
;;;;;;;;
Becton, Dickinson and Company, BD Veritor™;;;;;;;;
Pekosz, A., et al.;USA;high concern;no;fresh;NP;251;"96.4% (95% CI 82.3-99.4)
compared to virus culture";"98.7% (95% CI 96.1-99.7)
compared to virus culture"
Van der Moeren, N., et al.;Netherlands;intermediate concern;yes;banked;NP/OP;351*;94.1% (95% CI 71.1-100);100% (95% CI 98.9-100)
Marti, J.L.G., et al.;USA;unclear;yes;fresh;AN;unknown;93.8% (not provided);100% (not provided)
Young, S., et al.;USA;intermediate concern;no;banked;NP;251;76.3%* (95% CI 60.8*-87.0*);99.5%* (95% CI 97.4*-99.9*)
Schuit, E., et al.;Netherlands;intermediate concern;yes;fresh;NP;2678;63.9% (95% CI 57.4-70.1);99.6% (95% CI 99.3-99.8)
Caruana, G., et al.;Switzerland;intermediate concern;yes;fresh;NP;532;41.2% (not provided);99.7% (not provided)
;;;;;;;;
Becton, Dickinson and Company, Hometest;;;;;;;;
Stohr, J.J.J.M., et al.;Netherlands;low concern;yes;fresh;AN;1604;48.9% (95% CI 41.6-56.2);99.9% (95% CI 995.-100)
;;;;;;;;
Beijing Savant Biotechnology, SARS-CoV-2 detection kit;;;;;;;;
Weitzel, T., et al.;Chile;high concern;no;banked;NP/OP;109;16.7% (95% CI 10.0-26.5*);100% (95% CI 89.0-100)
;;;;;;;;
Bionote, NowCheck®;;;;;;;;
FINDdx;Brazil;low concern;yes;fresh;NP;400;89.2% (95% CI 81.7-93.9);97.3% (95% CI 94.8-98.6)
Rottenstreich, A., et al.;Israel;low concern;yes;unclear;NP;1326;55.6% (95% CI 21.2-86.3);100% (95% CI 99.7-100)
;;;;;;;;
