manufacturer;name;intercept;coef;test
Siemens Healthineers;CLINITEST® Rapid COVID‐19 Antigen Test;37.97651011510301;-1.2989571557227007;29.236152976865526
Zhejiang Orient Gene Biotech Co.,Ltd;Coronavirus Ag Rapid Test Cassette (Swab);37.97651011510301;-1.2989571557227007;29.236152976865526
BIOSYNEX SWISS SA;BIOSYNEX COVID‐ 19 Ag BSS;24.264746039703894;-0.8329804519927452;29.13003058073592
Wantai (Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.);SARS‐CoV‐2 Ag Rapid Test (FIA);36.58548825349116;-1.2742760152150898;28.71080348107765
BIONOTE;NowCheck® COVID 19 Ag Test;31.061032049920136;-1.110464373111157;27.971209884831616
SD BIOSENSOR;STANDARDTM F COVID‐19 Ag FIA;24.739406107490105;-0.8828227183657309;28.023073707581233
Abbott Rapid Diagnostics Jena GmbH;PanbioTM Covid‐19 Ag Rapid Test Device;25.169580756985617;-0.9066466813965728;27.761178939314167
Joinstar Biomedical Technology Co., Ltd (CIV care impuls Vertrieb);COVID‐19 Antigen Schnelltest (Colloidal Gold);29.01488589660965;-1.0462717060692617;27.731693142707336
Precision Biosensor Inc. (Axon Lab AG);Exdia COVID‐19‐Ag Test;22.620573037816524;-0.8139516612521788;27.79105211606443
Guangdong Wesail Biotech Co., Ltd.;COVID‐19 Ag Test Kit;17.033530335699627;-0.6163246708739982;27.637268376008223
LumiraDX;LumiraDx SARS‐ CoV‐2 Ag Test;19.392437129659207;-0.7097814709985064;27.321701005209835
Affimedix;TestNOW® ‐ COVID‐19 Antigen;25.921727620156595;-0.9596992562686769;27.0102612363592
MEDsan GmbH;MEDsan® SARS‐ CoV‐2 Antigen Rapid Test;26.039679703901356;-0.9640894832300808;27.009608710446813
Mölab GmbH;mö‐screen Corona Antigen Test;28.01014526965779;-1.0374220459623817;26.999759045677227
Hangzhou Clongene Biotech Co., Ltd.;Clungene COVID‐ 19 Antigen Rapid Test;20.56314797418286;-0.7888454865217023;26.067396372961486
Fujirebio Inc. (Mast Diagnostica GmbH);ESPLINE® SARS‐ CoV‐2;33.988775738451956;-1.3275487773234773;25.602656805558624
IVC Pragen Healthcare;GenBody COVID‐ 19 Ag;27.915561484373303;-1.0904628250344313;25.59973695893014
SD BIOSENSOR (Roche Diagnostics GmbH);SARS‐CoV‐2 Rapid Antigen Test;20.68426393047377;-0.8084216867621197;25.585983490025015
SD BIOSENSOR;STANDARDTM Q COVID‐19 Ag Test;20.68426393047377;-0.8084216867621197;25.585983490025015
R‐Biopharm AG;RIDA® QUICK SARS CoV‐2 Antigen;41.1475708996528;-1.6204996616394534;25.391903419482333
