Aktenzeichen des BfArM;Name des Tests;Hersteller;Europäischer Bevollmächtigter;Probennahme;Sensitivität %;Spezifität %;Gebrauchsanweisung
5640-S-216/21;Panbio™ COVID-19 Antigen Self-Test;Abbott Rapid Diagnostics Jena GmbH;;nasal;98,10;99,80;
5640-S-036/21;Acura Speichel-Test Diagnos COVID-19 Antigen Saliva Test Kit;Acura Kliniken Baden-Baden GmbH;;Speichel;98,10;99,33;https://acura-kliniken.com/wp-content/uploads/2021/04/Gebrauchsanweisung.pdf
5640-S-022/21;AESKU.RAPID SARS-CoV-2;Aesku.Diagnostics GmbH & Co. KG;;nasal;96,00;98,00;https://www.aesku.com/images/images/service/pdf/AESKU.RAPID_quickguide_laie_004_de.pdf
5640-S-116/21;Clungene COVID-19 Antigen Schnelltest (Spucktest);amec GmbH;;Speichel;91,30;99,60;https://www.amec-gmbh.de/wp-content/uploads/amec_Gebrauchsanweisung_Laie_17032021.pdf
5640-S-062/21;AMP Rapid Test SARS-CoV-2 Ag;AMEDA Labordiagnostik GmbH;;nasal;97,30;100,00;https://2e5ed920-9a4a-4c1f-b46e-954bdc354cc4.filesusr.com/ugd/3cc657_8e8255a9bf56497a8490327602d78955.pdf
5640-S-061/21;AMP Rapid Test SARS-CoV-2 Ag Sputum;AMEDA Labordiagnostik GmbH;;Sputum;92,20;100,00;https://2e5ed920-9a4a-4c1f-b46e-954bdc354cc4.filesusr.com/ugd/3cc657_b763a3b7ed0f45bba0aeba92bd9727af.pdf
5640-S-310/21;COVID-19 Antigen Schnelltest (kolloidales Gold)/Nasenabstrich;Anbio (Xiamen) Biotechnology., Co Ltd;Lotus Global Co Ltd;nasal;93,87;100,00;http://bb1tdy.r12.35.com/forum/productfiledownload?token=506bOl6%2BxwjpNv%2FDXtAOGeJ9%2FRUISVAp9g6UFlSLpq9HoytYlLx0a3Q
5640-S-058/21;COVID-19 Antigen Schnelltest (KolloidalesGold);Anbio (Xiamen) Biotechnology Co., Ltd.;Lotus NL B.V.;Speichel;98,94;100,00;
5640-S-086/21;COVID-19 (SARS-CoV-2) Antigentest (kolloidales Gold);Anhui Deepblue Medical Technology Co., Ltd.;Luxus Lebenswelt GmbH;nasal;96,40;99,80;https://waimao-us-west.oss-us-west-1.aliyuncs.com/customerFiles/dbluemedical/2021/04/15/b14c185096cd7580a3e6af3d27166f7726b6e8d7.pdf
5640-S-087/21;COVID-19 (SARS-CoV-2) Antigentestkit (kolloidales Gold) - Speichel;Anhui Deepblue Medical Technology Co. Ltd.;Luxus Lebenswelt GmbH;Speichel;97,10;99,80;https://waimao-us-west.oss-us-west-1.aliyuncs.com/customerFiles/dbluemedical/2021/04/15/5cdec64f353d5b4b908e6381b95832a340dceb94.pdf
